rubronombre,n,nivel2,nivel1
Ejecución y mantenimiento de instalaciones eléctricas n.c.p.,58,otro,otro
"Servicios de elaboración propia o por terceros y venta para llevar y entrega a domicilio de alimentos perecederos calientes, fríos o congelados, sin sucursales, con superficie habilitada de hasta 50 m2. Ubicados dentro del perímetro comprendido por las ca",58,comida_para_llevar,gastronomia
"Venta al por menor de semillas, abonos, fertilizantes y otros productos de vivero",58,vivero,hogar y construccion
"Venta al por mayor de fiambres, embutidos y chacinados",58,mayorista,industria y deposito
VENTA AL POR MENOR DE BATERÍAS,58,otro,otro
"Venta al por menor de vidrios, cristales, espejos, mamparas y cerramientos (incluye su colocación). Vidrierías",57,otro,otro
INSTALACIÓN Y REPARACIÓN DE EQUIPOS DE GNC,57,estacion_servicio,automotor
"VENTA AL POR MAYOR DE PRODUCTOS COSMÉTICOS, DE TOCADOR Y DE PERFUMERÍA",56,mayorista,industria y deposito
"Venta al por mayor de equipo informático y máquinas de oficina, cálculo y contabilidad",56,mayorista,industria y deposito
"CONFECCIÓN DE PRENDAS DE VESTIR N.C.P., EXCEPTO PRENDAS DE PIEL, CUERO Y DE PUNTO",55,ropa,indumentaria
"VENTA DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS   ",55,repuestos,automotor
Reparación de calzado y otros artículos de cuero,55,calzado,indumentaria
Venta al por menor de diarios y revistas,55,otro,otro
Venta al por mayor de artículos de librería y papelería,54,mayorista,industria y deposito
Venta  por menor de vehículos automotores nuevos,54,otro,otro
Recarga y venta al por menor de garrafas y combustibles sólidos y líquidos,54,otro,otro
"Instalación y reparación de lunetas y ventanillas, sistema de climatización, grabado de cristales de automotores, polarizados,",53,otro,otro
Reparación de bicicletas y rodados infantiles,53,venta_vehiculos,automotor
Natatorios,53,otro,otro
Venta de automotores nuevos por comisiones o consignaciones. Incluye planes de ahorro,53,venta_vehiculos,automotor
VENTA AL POR MAYOR DE COMBUSTIBLES Y LUBRICANTES PARA AUTOMOTORES,52,mayorista,industria y deposito
"Fabricación de muebles, sus partes y accesorios, excepto metálicos y plásticos",52,fabricacion,industria y deposito
FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL N.C.P.,51,fabricacion,industria y deposito
"SERVICIOS DE ALOJAMIENTO EN HOTELES, HOSTERÍAS Y RESIDENCIALES SIMILARES, EXCEPTO POR HORA, QUE NO INCLUYEN SERVICIO DE RESTAURANTE AL PÚBLICO",51,turismo,servicios profesionales
Venta al por menor de materiales de construcción en medianas y grandes superficies,51,construccion,hogar y construccion
VENTA AL POR MENOR POR INTERNET,51,otro,otro
"FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES Y SUS MOTORES N.C.P.",51,fabricacion,industria y deposito
REPARACIÓN DE CÁMARAS Y CUBIERTAS,51,repuestos,automotor
SERVICIOS MAYORISTAS DE AGENCIAS DE VIAJES,51,mayorista,industria y deposito
Venta de combustibles al por menor (por comisiones),51,otro,otro
VENTA AL POR MAYOR DE MATERIALES Y PRODUCTOS DE LIMPIEZA,50,mayorista,industria y deposito
PRODUCCIÓN Y PROCESAMIENTO DE CARNE DE AVES,50,polleria,alimentos
Compra y venta de artículos del hogar y muebles,50,muebleria,hogar y construccion
VENTA AL POR MENOR DE EQUIPOS  Y ARTÍCULOS DEPORTIVOS,49,deportes,esparcimiento
"Bar, confiterías, pizzerías, lomiterías, empanaderías, parrilla, trattoría, confiterías y restaurantes con una superficie habilitada de más de 300 m2. Ubicados dentro de los siguientes perímetros:",49,bar_restaurante,gastronomia
SERVICIOS DE PUBLICIDAD N.C.P.,49,otro,otro
FABRICACIÓN DE PRODUCTOS METÁLICOS DE TORNERÍA Y/O MATRICERÍA,49,fabricacion,industria y deposito
"Servicios relacionados con la imprenta (electrotipia, composición de tipo, grabado)",49,fotocopias,servicios personales
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE FRUTAS,49,mayorista,industria y deposito
SERVICIOS DE CRÉDITO N.C.P.,49,otro,otro
ELABORACIÓN DE PRODUCTOS DE CONFITERÍA N.C.P.,49,fabricacion,industria y deposito
ELABORACIÓN DE FIAMBRES Y EMBUTIDOS,48,fabricacion,industria y deposito
"Venta al por mayor de pinturas, barnices, lacas y esmaltes",48,mayorista,industria y deposito
Servicios de gestoría del automotor,48,otro,otro
Recarga y venta al por menor de gas carbónico p/matafuegos y gasificadores,48,otro,otro
"VENTA AL POR MAYOR Y EMPAQUE DE FRUTAS, DE LEGUMBRES Y HORTALIZAS FRESCAS",48,mayorista,industria y deposito
"Construcción, reforma y reparación de edificios (incluye viviendas unifamiliares y multifamiliares; bungalows, cabañas, casas de campo, departamento, albergues para ancianos, estudiantes, niños)",47,otro,otro
SERVICIOS DE LIMPIEZA GENERAL DE EDIFICIOS,47,otro,otro
Alquiler de ropa en general (excepto ropa blanca),47,ropa,indumentaria
Venta y abastecimiento de carne y derivados,47,otro,otro
"Venta al por mayor de chocolate y sus preparados, caramelos y otros derivados del azúcar",46,mayorista,industria y deposito
Venta al por menor de artículos de camping,46,deportes,esparcimiento
SERVICIOS DE CANTINAS DE ATENCION EXCLUSIVA A EMPLEADOS O ESTUDIANTES DENTRO DE EMPRESAS O EST. EDUCATIVOS,45,bar_restaurante,gastronomia
"REPARACIÓN DE AMORTIGUADORES, ALINEACIÓN DE DIRECCIÓN Y BALANCEO DE RUEDAS",45,otro,otro
"VENTA AL POR MENOR DE PAPELES PARA PARED, REVESTIMIENTOS PARA PISOS Y ARTÍCULOS SIMILARES PARA LA DECORACIÓN",45,articulos_hogar,hogar y construccion
Queserías. Venta al por mayor de quesos,45,mayorista,industria y deposito
Fábrica de Sándwiches,45,otro,otro
"Fabricación de repuestos, piezas y accesorios para vehículos automotores",45,fabricacion,industria y deposito
"SERVICIOS DE FAST FOOD"" Y LOCALES DE VENTA DE COMIDAS Y BEBIDAS AL PASO""",45,bebidas,alimentos
ALQUILER Y ARRENDAMIENTO DE MAQUINARIA Y EQUIPO N.C.P.,44,otro,otro
SERVICIOS DE PRODUCTORES Y ASESORES DE SEGUROS,44,seguros,servicios profesionales
VENTA AL POR MENOR DE ARTÍCULOS PARA PLOMERÍA E INSTALACIÓN DE GAS,44,otro,otro
Venta al por mayor de aves y huevos,44,mayorista,industria y deposito
Venta de inmuebles Propios,44,otro,otro
"SERVICIOS DE ASESORAMIENTO, DIRECCIÓN Y GESTIÓN EMPRESARIAL N.C.P.",43,otro,otro
PROCESAMIENTO DE CARNE DE GANADO BOVINO,43,otro,otro
"VENTA AL POR MAYOR DE PAN, PRODUCTOS DE CONFITERÍA Y PASTAS FRESCAS",43,mayorista,industria y deposito
VENTA AL POR MAYOR DE FIAMBRES Y QUESOS,43,mayorista,industria y deposito
"VENTA AL POR MAYOR DE ARTÍCULOS DE PLOMERÍA, ELECTRICIDAD, ILUMINACIÓN, CALEFACCIÓN, OBRAS SANITARIAS Y SIMILARES",42,mayorista,industria y deposito
VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS,42,mayorista,industria y deposito
Lavandería automática. Alquiler de máquinas lavadoras y secadoras de ropa en general,42,ropa,indumentaria
Venta al por mayor de artículos para kiosco y para salones de venta,42,mayorista,industria y deposito
VENTA AL POR MAYOR DE MERCANCÍAS N.C.P. ,42,mayorista,industria y deposito
"Venta al por mayor de café, té y yerba mate (incluye Fraccionamiento, y venta al por mayor de sal), (Fraccionamiento, y venta al por mayor de té y especias)",41,mayorista,industria y deposito
"Venta al por mayor de madera y productos de madera, excepto muebles",41,mayorista,industria y deposito
"FABRICACIÓN DE PRODUCTOS PLÁSTICOS EN FORMAS BÁSICAS Y ARTÍCULOS DE PLÁSTICO N.C.P., EXCEPTO MUEBLES",41,fabricacion,industria y deposito
Elaboración de productos dietéticos.,41,fabricacion,industria y deposito
Venta al por menor de instrumentos musicales,41,otro,otro
FABRICACIÓN DE CARPINTERÍA METÁLICA,41,fabricacion,industria y deposito
VENTA AL POR MENOR DE ARTÍCULOS USADOS N.C.P. EXCEPTO AUTOMOTORES Y MOTOCICLETAS,41,venta_vehiculos,automotor
"Venta al por mayor de artículos de plomería, electricidad, iluminación, calefacción, obras sanitarias y similares",40,mayorista,industria y deposito
Cosmetología,40,otro,otro
Venta al por mayor de papel y productos de papel y cartón,40,mayorista,industria y deposito
Servicios de emergencias y traslados,40,otro,otro
"Fabricación y reparación e instrumentos y aparatos de cirugía, medicina, odontología, ortopedia, sus partes y accesorios",40,fabricacion,industria y deposito
Embotellamiento de aguas naturales y minerales,40,otro,otro
"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO MÉDICO Y PARAMÉDICO",40,mayorista,industria y deposito
ELABORACIÓN DE GALLETITAS Y BIZCOCHOS,40,fabricacion,industria y deposito
Venta al por mayor de tabacos y cigarrillos,40,mayorista,industria y deposito
Distribución y venta al por mayor de pan y productos de panificación,40,mayorista,industria y deposito
SERVICIOS DE LIMPIEZA N.C.P.,39,otro,otro
Venta al por mayor de artículos de plástico,39,mayorista,industria y deposito
"Venta al por menor de antigüedades, objetos de arte, cuadros, marcos, filatelia y numismática",39,usados,comercio general
"Venta al por menor de equipo profesional, científico e instrumentos de medida y de control",39,otro,otro
Hipermercado,39,otro,otro
VIVEROS,38,vivero,hogar y construccion
"VENTA AL POR MAYOR DE PRENDAS Y ACCESORIOS DE VESTIR N.C.P., EXCEPTO UNIFORMES Y ROPA DE TRABAJO",38,mayorista,industria y deposito
"Fabricación de calzado de cuero, incluyendo el ortopédico",38,fabricacion,industria y deposito
Venta al por mayor de juguetes y artículos de cotillón,38,mayorista,industria y deposito
SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO EN CÁMARAS FRIGORÍFICAS,38,deposito,industria y deposito
"FABRICACIÓN DE REPUESTOS, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES",37,fabricacion,industria y deposito
SERVICIOS DE PREPARACIÓN DE COMIDAS PARA EMPRESAS Y EVENTOS,37,comida_para_llevar,gastronomia
ALQUILER DE PRENDAS DE VESTIR,37,ropa,indumentaria
"VENTA AL POR MAYOR DE EQUIPOS, PERIFÉRICOS, ACCESORIOS Y PROGRAMAS INFORMÁTICOS",37,mayorista,industria y deposito
Artículos usados o reacondicionados,37,usados,comercio general
"VENTA DE AUTOS, CAMIONETAS Y UTILITARIOS NUEVOS  ",36,otro,otro
"REPARACIONES ELÉCTRICAS DEL TABLERO E INSTRUMENTAL, REPARACIÓN Y RECARGA DE BATERÍAS, INSTALACIÓN DE ALARMAS, RADIOS, SISTEMAS DE CLIMATIZACIÓN",36,otro,otro
VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS N.C.P.,36,mayorista,industria y deposito
SERVICIOS DE PRODUCTORES  Y ASESORES DE SEGUROS,36,seguros,servicios profesionales
VENTA AL POR MAYOR DE ARTÍCULOS PARA LA CONSTRUCCIÓN N.C.P. ,36,mayorista,industria y deposito
SERVICIOS DE  CONSULTA MÉDICA,36,otro,otro
"VENTA AL POR MENOR DE PRODUCTOS VETERINARIOS, ANIMALES DOMÉSTICOS Y ALIMENTO BALANCEADO PARA MASCOTAS ",36,forrajeria,alimentos
VENTA AL POR MENOR DE EQUIPOS Y ARTÍCULOS DEPORTIVOS,35,deportes,esparcimiento
Servicios de internación,35,otro,otro
Elaboración de soda,34,fabricacion,industria y deposito
Estudios fotográficos. Fotografía comercial,34,fotografia,comercio general
"Venta al por mayor de equipos y aparatos de radio, televisión, comunicaciones y sus componentes",34,mayorista,industria y deposito
Distribución y venta al por mayor de alimentos y suplementos dietarios.,34,mayorista,industria y deposito
Fabricación y reparación de máquinas y equipos n.c.p. (excepto la maquinaria eléctrica),34,fabricacion,industria y deposito
VENTA AL POR MAYOR DE CARNES ROJAS Y DERIVADOS,33,mayorista,industria y deposito
"VENTA AL POR MENOR DE CRISTALES, ESPEJOS, MAMPARAS Y CERRAMIENTOS",33,otro,otro
"Instalación de gas, agua, sanitarios y equipos de climatización, con sus artefactos conexos",33,construccion,hogar y construccion
"ALQUILER DE MAQUINARIA Y EQUIPO N.C.P., SIN PERSONAL",33,otro,otro
SERVICIO DE CORREO POSTAL,33,otro,otro
ESTABLECIMIENTOS DE TATUAJES Y PIERCING,33,otro,otro
"REPARACIÓN DE AMORTIGUADORES,  ALINEACIÓN DE DIRECCIÓN Y BALANCEO DE RUEDAS",32,otro,otro
ENSEÑANZA DE IDIOMAS,32,educacion,educacion
"ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS N.C, P.",32,otro,otro
SERVICIOS DE DISEÑO ESPECIALIZADO,32,otro,otro
Mantenimiento y reparación de frenos de automotores,32,otro,otro
Empresas o personas dedicadas a la negociación de órdenes y tarjetas de compras y créditos (Artículo 246 del C.T.M.). Con un mínimo por persona que desarrolle actividad inherente al giro del establecimiento de $ 203,32,otro,otro
Construcciones n.c.p.,32,otro,otro
"VENTA AL POR MAYOR DE CHOCOLATES, GOLOSINAS Y PRODUCTOS PARA KIOSCOS Y POLIRRUBROS N.C.P., EXCEPTO CIGARRILLOS",32,mayorista,industria y deposito
"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE OBRAS DE INFRAESTRUCTURA PARA EL TRANSPORTE",31,transporte,servicios profesionales
Reparación de muebles de madera (carpintería de madera),31,muebleria,hogar y construccion
LAVADO AUTOMÁTICO Y MANUAL DE VEHÍCULOS AUTOMOTORES,31,otro,otro
REPARACIÓN DE TAPIZADOS Y MUEBLES,31,muebleria,hogar y construccion
"SERVICIOS DE CENTROS DE ESTETICA,SPA Y SIMILARES",31,belleza,servicios personales
SERVICIOS DE APOYO A LA EDUCACIÓN,31,otro,otro
VENTA AL POR MAYOR DE ARTÍCULOS DE BAZAR Y MENAJE EXCEPTO DE VIDRIO,31,mayorista,industria y deposito
"Venta al por mayor en comisión o consignación de frutas, hortalizas y verduras en el Mercado de Abasto",31,mayorista,industria y deposito
SERVICIOS DE JARDINERÍA Y MANTENIMIENTO DE ESPACIOS VERDES,31,vivero,hogar y construccion
REPARACIÓN DE RELOJES Y JOYAS. RELOJERÍAS,31,bijouterie,indumentaria
Alquiler de video películas y video juegos,30,otro,otro
VENTA AL POR MAYOR DE INSTRUMENTAL MÉDICO Y ODONTOLÓGICO Y ARTÍCULOS ORTOPÉDICOS,30,mayorista,industria y deposito
"Fabricación y reparación de maquinaria de oficina, cálculo, contabilidad, máquinas de escribir, cajas registradoras,",30,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE CAFÉ, TÉ, YERBA MATE Y OTRAS INFUSIONES Y ESPECIAS Y CONDIMENTOS",30,mayorista,industria y deposito
VENTA DE VEHÍCULOS AUTOMOTORES NUEVOS N.C.P.,30,otro,otro
PORTALES WEB,30,otro,otro
"VENTA AL POR MAYOR DE AVES, HUEVOS Y PRODUCTOS DE GRANJA Y DE LA CAZA N.C.P.",30,mayorista,industria y deposito
"Servicios brindados para terceros por call center, contact center, y atención al Cliente. Servicios brindados mediante tecnología perteneciente al área de comunicaciones. Se incluyen todos los servicios relacionados con el asesoramiento y auxilio técnico",30,otro,otro
VENTA AL POR MENOR DE CDS Y DVDS DE AUDIO Y VIDEO GRABADOS,30,otro,otro
Venta al por mayor en comisión o consignación de alimentos y bebidas no alcohólicas,29,mayorista,industria y deposito
"CONSTRUCCIÓN, REFORMA Y REPARACIÓN DE REDES DISTRIBUCIÓN DE ELECTRICIDAD, GAS, AGUA, TELECOMUNICACIONES Y DE OTROS SERVICIOS PÚBLICOS",29,otro,otro
REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS N.C.P.,29,otro,otro
"Venta al por mayor de hierros, aceros, metales no ferrosos y subproductos, excepto chatarra",29,mayorista,industria y deposito
"Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye alambre, cañerías, tuberías, )en general",29,fabricacion,industria y deposito
"VENTA DE AUTOS, CAMIONETAS Y UTILITARIOS NUEVOS",29,otro,otro
Venta al por mayor de calzados (incluye zapatos y zapatillas),28,mayorista,industria y deposito
Venta al por mayor de artículos de marroquinería,28,mayorista,industria y deposito
"SERVICIOS INMOBILIARIOS REALIZADOS POR CUENTA PROPIA, CON BIENES RURALES PROPIOS O ARRENDADOS N.C.P.",28,inmobiliaria,servicios profesionales
"Combustibles derivados del Petróleo y Gas natural Comprimido, en Estaciones de Servicios y otras actividades reguladas por la Ordenanza Nº 9748/97 y sus modificatorias, localizadas en las zonas determinadas por el artículo 10° de dicha ordenanza",28,comercio_otros,comercio general
"VENTA AL POR MENOR DE ARMAS, ARTÍCULOS PARA LA CAZA Y PESCA",28,deportes,esparcimiento
Venta al por menor de tejidos de punto,28,otro,otro
Venta al por mayor de muebles y accesorios excepto los metálicos,27,mayorista,industria y deposito
SERVICIOS DE TRATAMIENTO,27,consultorio,salud
"INSTALACIÓN Y REPARACIÓN DE PARABRISAS, LUNETAS Y VENTANILLAS, CERRADURAS NO ELÉCTRICAS Y GRABADO DE CRISTALES",27,otro,otro
VENTA AL POR MAYOR DE ARTÍCULOS DE PLÁSTICO,27,mayorista,industria y deposito
"REPARACIÓN Y PINTURA DE CARROCERÍAS, COLOCACIÓN Y REPARACIÓN DE GUARDABARROS Y PROTECCIONES EXTERIORES",27,otro,otro
"LAVADO Y LIMPIEZA DE ARTÍCULOS DE TELA, CUERO Y/O DE PIEL, INCLUSO LA LIMPIEZA EN SECO",27,limpieza,hogar y construccion
Servicios odontológicos.,27,consultorio,salud
Venta al por mayor de productos lácteos (excepto quesos),27,mayorista,industria y deposito
"DE LAS CANCHAS DE TENIS, PADDLE TENIS, SQUASH, FRONTÓN, PELOTA A PALETA, FUTBOL 5,9,11, FUTBOL DE SALÓN, BASQUET Y OTRAS. CON ESCUELAS Y/O DE ALQUILER",26,instalaciones_deportivas,esparcimiento
SERVICIOS RELACIONADOS CON LA CONSTRUCCIÓN.,26,otro,otro
Venta al por mayor de productos farmacéuticos y veterinarios,26,mayorista,industria y deposito
ENSEÑANZA ESPECIAL Y PARA DISCAPACITADOS,26,educacion,educacion
Venta al por menor de textos usados,26,usados,comercio general
"INSTALACIÓN, EJECUCIÓN Y MANTENIMIENTO DE INSTALACIONES ELÉCTRICAS, ELECTROMECÁNICAS Y ELECTRÓNICAS N.C.P.",26,otro,otro
"Operaciones de préstamos que se efectúan a  Empresas Comerciales, Industriales, Agropecuarias o Servicios que no sean los otorgados por las entidades involucradas en los apartados anteriores. Con un mínimo por persona que desarrolle actividad inherente al",26,cobranzas,servicios profesionales
"FABRICACIÓN DE MUEBLES Y PARTES DE MUEBLES, PRINCIPALMENTE DE MADERA",26,fabricacion,industria y deposito
SERVICIOS DE SEGUROS PATRIMONIALES EXCEPTO LOS DE LAS ASEGURADORAS DE RIESGO DE TRABAJO (ART),25,seguros,servicios profesionales
Venta al por mayor en comisión o consignación de madera y materiales para la construcción,25,mayorista,industria y deposito
SERVICIOS DE GESTIÓN Y LOGÍSTICA PARA EL TRANSPORTE DE MERCADERÍAS N.C.P.,25,transporte,servicios profesionales
Venta al por menor de tapices y alfombras,25,articulos_hogar,hogar y construccion
"Galvanoplastia, esmaltado, y otros procesos similares en metales, incluyendo pulvimetalurgia, incluye estampado, prensado, forjado y laminado de metales",25,otro,otro
"IMPRESIÓN N.C.P., EXCEPTO DE DIARIOS Y REVISTAS",24,otro,otro
REPARACIÓN Y MANTENIMIENTO DE EQUIPOS INFORMÁTICOS,24,tecnologia,comercio general
SERVICIOS DE FOTOGRAFÍA,24,fotografia,comercio general
Venta al por mayor de cámaras y cubiertas,24,mayorista,industria y deposito
EMBOTELLADO DE AGUAS NATURALES Y MINERALES,24,otro,otro
Venta al por menor de herrajes en general,24,otro,otro
VENTA AL POR MAYOR DE ARTÍCULOS DE ILUMINACIÓN,24,mayorista,industria y deposito
VENTA EN COMISION AL POR MENOR DE COMBUSTIBLE PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,24,venta_vehiculos,automotor
Servicio de mantenimiento de espacios verdes. Parquización.,24,otro,otro
Venta al por menor de armas y artículos de cuchillería. Armería. Cuchillería. Venta al por menor de artículos de caza y pesca,23,deportes,esparcimiento
VENTA AL POR MAYOR DE PRODUCTOS LÁCTEOS,23,mayorista,industria y deposito
Fabricación de estructuras metálicas para la construcción,23,fabricacion,industria y deposito
SERVICIO DE TRANSPORTE AUTOMOTOR DE CARGAS N.C.P,23,transporte,servicios profesionales
Venta de cospeles al por menor. Por la comisión,23,otro,otro
SERVICIOS DE PRÁCTICAS DE DIAGNÓSTICO EN LABORATORIOS,23,laboratorio_analisis,salud
SERVICIOS ODONTOLÓGICOS.,23,consultorio,salud
TRATAMIENTO Y REVESTIMIENTO DE METALES Y TRABAJOS DE METALES EN GENERAL,23,otro,otro
"Venta al por mayor de aceites y grasas comestibles, vinagres",23,mayorista,industria y deposito
"Fabricación y reparación de equipo profesional y científico, e instrumentos de medida y control no clasificados en otra parte",22,fabricacion,industria y deposito
VENTA AL POR MAYOR DE ACEITES Y GRASAS,22,mayorista,industria y deposito
"VENTA AL POR MAYOR DE FRUTAS, LEGUMBRES Y CEREALES SECOS Y EN CONSERVA",22,mayorista,industria y deposito
REPARACIÓN Y MANTENIMIENTO DE MÁQUINAS Y EQUIPO N.C.P.,22,otro,otro
Fabricación y reparación de equipos de computación.,22,fabricacion,industria y deposito
Alquiler y arrendamiento de maquinaria y equipo para la construcción y la industria (sin personal),22,otro,otro
FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL,22,fabricacion,industria y deposito
Obras de ingeniería civil n.c.p.,22,otro,otro
Servicio de tapicería (excluido p/automotores),22,otro,otro
MANTENIMIENTO Y REPARACIÓN DE FRENOS Y EMBRAGUES,22,otro,otro
Alquiler de automóviles sin chofer,22,otro,otro
Fabricación de aparatos y suministros eléctricos no clasificados en otra parte (incluye accesorios eléctricos),22,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS N.C.P.",21,mayorista,industria y deposito
FABRICACIÓN DE EQUIPO MÉDICO Y QUIRÚRGICO Y DE APARATOS ORTOPÉDICOS N.C.P.,21,fabricacion,industria y deposito
"VENTA AL POR MENOR DE PARTES, PIEZAS Y ACCESORIOS USADOS N.C.P.",21,repuestos,automotor
REPARACIÓN DE CALZADO Y ARTÍCULOS DE MARROQUINERÍA,21,calzado,indumentaria
"Servicios de hospital de día. (Incluye las actividades de tratamiento que no necesitan hospitalización a tiempo completo, tales como tratamientos oncológicos; infectológicos; dialíticos; atención de la salud mental; atención pediátrica; atención gerontoló",21,otro,otro
"SERVICIOS DE ALOJAMIENTO EN HOTELES, HOSTERÍAS Y RESIDENCIALES SIMILARES, EXCEPTO POR HORA, QUE INCLUYEN SERVICIO DE RESTAURANTE AL PÚBLICO",21,turismo,servicios profesionales
SERVICIOS DE ENTIDADES DE TARJETA DE COMPRA Y/O CRÉDITO,21,otro,otro
VENTA AL POR MENOR DE EQUIPOS  Y ARTÍCULOS DEPORTIVOS ,21,deportes,esparcimiento
"SERVICIOS DE ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES, EXCEPTO CULTURALES Y DEPORTIVOS",21,otro,otro
SERVICIOS DE PROVEEDORES DE ATENCIÓN MÉDICA DOMICILIARIA,20,otro,otro
"INSTALACIONES DE GAS, AGUA, SANITARIOS Y DE CLIMATIZACIÓN, CON SUS ARTEFACTOS CONEXOS",20,construccion,hogar y construccion
Venta por menor de  motocicletas nuevas y usadas en consignación,20,venta_vehiculos,automotor
Venta al por mayor de legumbres y cereales,20,mayorista,industria y deposito
"Hotel categoría 1 estrella. Con un mínimo por cada habitación de $ 14,30",20,turismo,servicios profesionales
"Venta, distribución y fraccionamiento al por mayor de productos dietéticos.",20,mayorista,industria y deposito
MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS,20,venta_vehiculos,automotor
OBRAS SOCIALES,19,otro,otro
SERVICIOS DE CALL CENTER ,19,otro,otro
Estudio fotográfico. Laboratorio,19,laboratorio_analisis,salud
VENTA AL POR MAYOR DE PAPEL Y PRODUCTOS DE PAPEL Y CARTÓN EXCEPTO ENVASES,19,mayorista,industria y deposito
Fabricación de envases de plástico,19,fabricacion,industria y deposito
Fabricación de productos químicos n.c.p. (Incluye aceites esenciales),19,fabricacion,industria y deposito
"Emisión u organización de rifas, bonos, cupones, billetes o similares",18,otro,otro
VENTA AL POR MAYOR DE ALIMENTOS BALANCEADOS PARA ANIMALES,18,mayorista,industria y deposito
Compra y Venta de títulos y Casas de Cambio. Con un mínimo por empleado de $ 203,18,cobranzas,servicios profesionales
VENTA AL POR MAYOR DE ARTÍCULOS DE LIBRERÍA Y PAPELERÍA,18,mayorista,industria y deposito
ALQUILER DE AUTOMÓVILES SIN CONDUCTOR,18,otro,otro
"Hotel categoría 2 estrellas. Con un mínimo por cada habitación de $ 17,75",18,turismo,servicios profesionales
SERVICIOS DE ARQUITECTURA E INGENIERÍA Y SERVICIOS CONEXOS DE ASESORAMIENTO TÉCNICO N.C.P.,18,otro,otro
SERVICIO DE DISEÑO ESPECIALIZADO,18,otro,otro
Elaboración artesanal de helados,18,heladeria,gastronomia
VENTA AL POR MENOR EN HIPERMERCADOS,18,otro,otro
Fábrica de textiles en general,17,merceria,indumentaria
Servicio de Web Hosting,17,otro,otro
"Alquiler de vajilla, mobiliario y elemento de fiesta",17,bazar,hogar y construccion
VENTA AL POR MAYOR DE SEMILLAS Y GRANOS PARA FORRAJES,17,mayorista,industria y deposito
Venta de pañales por mayor,17,mayorista,industria y deposito
"Venta al por mayor de artículos de tapicería, tapices y alfombras",17,mayorista,industria y deposito
VENTA DE ROPA Y ACCESORIOS EN LA MODALIDAD DE FERIA,17,ropa,indumentaria
"Fabricación de productos de madera, de corcho, caña y mimbre no clasificados en otra parte",17,fabricacion,industria y deposito
"Instalaciones para edificios y obras de ingeniería civil n.c.p. (incluye aislamiento término, acústico, antivibratorio, )",17,otro,otro
"Venta al por mayor de equipos e implementos de uso en los sectores agropecuario, jardinería, silvicultura, pesca y caza",17,mayorista,industria y deposito
FABRICACIÓN DE SODAS,17,fabricacion,industria y deposito
VENTA AL POR MAYOR DE EQUIPOS DE TELEFONÍA Y COMUNICACIONES,17,mayorista,industria y deposito
SERVICIOS DE ORGANIZACIONES EMPRESARIALES Y DE EMPLEADORES,17,otro,otro
Correo electrónico - Provisión de Servicios de internet                                                                                                                                                            Con un mínimo mensual por abonado o conectad,17,otro,otro
REPARACIÓN Y MANTENIMIENTO DE MAQUINARIA DE USO GENERAL,16,otro,otro
Venta al por menor de plaguicidas,16,otro,otro
"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE ALIMENTOS, BEBIDAS Y TABACO N.C.P.",16,mayorista,industria y deposito
SERVICIOS DE MENSAJERÍAS,16,otro,otro
VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE MERCADERÍAS N.C.P.,16,mayorista,industria y deposito
VENTA AL POR MENOR DE DIARIOS Y REVISTAS,16,otro,otro
SERVICIOS COMPLEMENTARIOS DE APOYO TURÍSTICO N.C.P.,16,otro,otro
"SERVICIOS DE ORGANIZACION, DIRECCION Y GESTION DE PRACTICAS DEPORTIVAS EN CLUBES",16,otro,otro
SERVICIOS DE SEGUROS DE SALUD,16,seguros,servicios profesionales
Receptoría de lavandería tintorería,16,lavanderia,servicios personales
Transporte urbano de cargas n.c.p. (incluye fletes),16,transporte,servicios profesionales
Venta y distribución al por mayor de otros productos y subproductos ganaderos y agrícolas,16,mayorista,industria y deposito
Lavado y limpieza de lana. Lavadero,16,otro,otro
