rubronombre,n,nivel2,nivel1
"VENTA AL POR MAYOR DE ARTÍCULOS DE LOZA, CERÁMICA Y PORCELANA DE USO EN CONSTRUCCIÓN",8,mayorista,industria y deposito
SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE N.C.P.,8,transporte,servicios profesionales
Venta al por mayor de textos nuevos,8,mayorista,industria y deposito
SERVICIOS RELACIONADOS CON LA ELECTRÓNICA Y LAS COMUNICACIONES,8,tecnologia,comercio general
CRIADERO DE POLLOS PARA CONSUMO (CARNE Y HUEVOS),8,otro,otro
Fabricación de productos de caucho destinados a la industria automotor (excepto cámaras y cubiertas),8,fabricacion,industria y deposito
Montajes industriales,8,otro,otro
VENTA AL POR MAYOR DE PINTURAS Y PRODUCTOS CONEXOS,8,mayorista,industria y deposito
"VENTA AL POR MAYOR DE ABONOS, FERTILIZANTES Y PLAGUICIDAS",8,mayorista,industria y deposito
SERVICIO DE TRANSPORTE AUTOMOTOR URBANO DE CARGA N.C.P.,8,transporte,servicios profesionales
ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN N.C.P.,8,otro,otro
"Venta al por mayor en comisión o consignación de energía eléctrica, gas y combustibles",8,mayorista,industria y deposito
Fabricación y reparación de equipos de distribución y transmisión de electricidad,8,fabricacion,industria y deposito
PROCESAMIENTO DE DATOS,8,otro,otro
FRACCIONAMIENTO Y DISTRIBUCIÓN DE GAS LICUADO,8,otro,otro
Venta al por mayor de tarjetas magnéticas de telefonía,8,mayorista,industria y deposito
FABRICACIÓN DE PRENDAS DE VESTIR Y ARTÍCULOS SIMILARES DE PUNTO,8,fabricacion,industria y deposito
SERVICIOS DE TURISMO AVENTURA,8,turismo,servicios profesionales
"RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS NO PELIGROSOS ",8,transporte,servicios profesionales
"Fabricación de productos de cuero y sucedáneos de cuero (excepto calzado y prendas vestir). Incluye maletas, bolsos de mano y similares, artículos de talabartería y de cuero n.c.p.",8,fabricacion,industria y deposito
"Fabricación de motocicletas, vehículos similares y sus partes, incluyendo el motor",8,fabricacion,industria y deposito
"Hotel categoría 4 estrellas. Con un mínimo por cada habitación de $ 32,75.-",8,turismo,servicios profesionales
"TOSTADO, TORRADO Y MOLIENDA DE CAFÉ",8,fabricacion,industria y deposito
SERVICIOS DE TELECOMUNICACIÓN VÍA INTERNET N.C.P.,8,otro,otro
Tapizado y retapizado de automotores,8,otro,otro
"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS",8,fabricacion,industria y deposito
VENTA AL POR MAYOR DE BEBIDAS ESPIRITUOSAS,8,mayorista,industria y deposito
Fabricación de artículos de lona y sucedáneos de lona,8,fabricacion,industria y deposito
ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,8,fabricacion,industria y deposito
SERVICIOS BURSÁTILES DE MEDIACIÓN O POR CUENTA DE TERCEROS,8,otro,otro
FABRICACIÓN DE EQUIPO MÉDICO Y QUIRÚRGICO Y DE APARATOS ORTOPÉDICOS PRINCIPALMENTE ELECTRÓNICOS Y/O ELÉCTRICOS,8,fabricacion,industria y deposito
SERVICIOS DE CONSULTORES EN EQUIPO DE INFORMÁTICA,8,tecnologia,comercio general
Venta al por mayor de artículos de cristal y vidrio,7,mayorista,industria y deposito
SERVICIOS DE MENSAJERÍAS.,7,otro,otro
FABRICACIÓN DE ARTÍCULOS DE PAPEL Y CARTÓN N.C.P.,7,fabricacion,industria y deposito
FABRICACIÓN DE MEDICAMENTOS DE USO HUMANO Y PRODUCTOS FARMACÉUTICOS,7,fabricacion,industria y deposito
VENTA AL POR MAYOR DE MÁQUINAS Y EQUIPO DE CONTROL Y SEGURIDAD,7,mayorista,industria y deposito
EDICIÓN N.C.P.,7,otro,otro
SERVICIOS DE ORGANIZACIONES PROFESIONALES,7,otro,otro
"Elaboración, envasado y conservación de frutas y legumbres",7,otro,otro
Fabricación de acumuladores y pilas eléctricas,7,fabricacion,industria y deposito
"VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN DE MAQUINARIA, EQUIPO PROFESIONAL INDUSTRIAL Y COMERCIAL, EMBARCACIONES Y AERONAVES",7,mayorista,industria y deposito
"Elaboración de bebidas no alcohólicas (incluye bebidas refrescantes, gaseosas, , excepto jugos o jarabes para diluir)",7,fabricacion,industria y deposito
"CORTE, TALLADO Y ACABADO DE LA PIEDRA",7,otro,otro
Venta al por mayor de abonos y plaguicidas,7,mayorista,industria y deposito
"Venta al por mayor en comisión o consignación de máquinas, equipos y aparatos de uso doméstico, incluidos los electrónicos",7,mayorista,industria y deposito
"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO EN LOS SECTORES AGROPECUARIO, JARDINERÍA, SILVICULTURA, PESCA Y CAZA",7,mayorista,industria y deposito
REASEGUROS,7,otro,otro
Fabricación de artículos de vidrio y cristal excepto espejos y vitrales,7,fabricacion,industria y deposito
SERVICIOS DE EMERGENCIAS Y TRASLADOS,7,otro,otro
"FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES N.C.P., EXCEPTO PRENDAS DE VESTIR",7,fabricacion,industria y deposito
"FORJADO, PRENSADO, ESTAMPADO Y LAMINADO DE METALES, PULVIMETALURGIA",7,otro,otro
"VENTA AL POR MAYOR DE EQUIPOS DE AUDIO, VIDEO Y TELEVISIÓN",7,mayorista,industria y deposito
SERVICIOS RELACIONADOS CON LA IMPRESIÓN      ,7,otro,otro
